interval_start_timestamp,days_in_guild,muters
2021-10-11T00:00:00+00:00,'Existing Members',4
2021-10-11T00:00:00+00:00,'New Members',131
2021-10-12T00:00:00+00:00,'Existing Members',14
2021-10-12T00:00:00+00:00,'New Members',45
2021-10-13T00:00:00+00:00,'Existing Members',19
2021-10-13T00:00:00+00:00,'New Members',49
2021-10-14T00:00:00+00:00,'Existing Members',30
2021-10-14T00:00:00+00:00,'New Members',17
2021-10-15T00:00:00+00:00,'Existing Members',24
2021-10-15T00:00:00+00:00,'New Members',16
2021-10-16T00:00:00+00:00,'Existing Members',10
2021-10-16T00:00:00+00:00,'New Members',3
2021-10-17T00:00:00+00:00,'Existing Members',5
2021-10-17T00:00:00+00:00,'New Members',1