interval_start_timestamp,days_in_guild,leavers
2022-10-17T00:00:00+00:00,Members for 1 month+,0
2022-10-17T00:00:00+00:00,Members for < 1 month,3
2022-10-18T00:00:00+00:00,Members for 1 month+,0
2022-10-18T00:00:00+00:00,Members for < 1 month,6
2022-10-19T00:00:00+00:00,Members for 1 month+,0
2022-10-19T00:00:00+00:00,Members for < 1 month,1
2022-10-20T00:00:00+00:00,Members for 1 month+,0
2022-10-20T00:00:00+00:00,Members for < 1 month,5
2022-10-21T00:00:00+00:00,Members for 1 month+,0
2022-10-21T00:00:00+00:00,Members for < 1 month,14
2022-10-22T00:00:00+00:00,Members for 1 month+,0
2022-10-22T00:00:00+00:00,Members for < 1 month,9
2022-10-23T00:00:00+00:00,Members for 1 month+,0
2022-10-23T00:00:00+00:00,Members for < 1 month,8
2022-10-24T00:00:00+00:00,Members for 1 month+,0
2022-10-24T00:00:00+00:00,Members for < 1 month,17
2022-10-25T00:00:00+00:00,Members for 1 month+,0
2022-10-25T00:00:00+00:00,Members for < 1 month,7
2022-10-26T00:00:00+00:00,Members for 1 month+,0
2022-10-26T00:00:00+00:00,Members for < 1 month,2
2022-10-27T00:00:00+00:00,Members for 1 month+,0
2022-10-27T00:00:00+00:00,Members for < 1 month,5