"id_proponente","pessoa_com_necessidade_especifica_pcd","id_proposta","como_voce_se_indentifica","faz_parte_da_populacao_trans_travesti","como_voce_se_define_raca","orientaca_sexual","uf","programa_em_python","primeira_vez_pybr","ministrou_atividade_outra_edicao_pybr","ministrou_atividade_outro_evento","precisaria_ajuda_custo","estado_proposta","tipo_atividade","nivel_atividade","duracao","Idioma","Sala","palavras_chaves"
"7GYQDY","Não","38CXGA","Mulher","Não","Uma pessoa parda","Hétero","AM","Não programo, minha atividade é sobre outro tema (por exemplo: carreira e pessoas (Pessoas > Tecnologia))","Sim","Não","Não","Ingresso, Deslocamento (passagens ou reembolso de combustível)","confirmed","Tutorial curto","Não-técnica",120,"pt-BR","OCEAN LAB 1","Design - Discovery - Metodologias"
"T7ALJJ","Não","38CXGA","Mulher","Não","Uma pessoa parda","Hétero","AM","Não programo, minha atividade é sobre outro tema (por exemplo: carreira e pessoas (Pessoas > Tecnologia))","Sim","Não","Eventos com até 200 pessoas","Ingresso, Deslocamento (passagens ou reembolso de combustível)","confirmed","Tutorial curto","Não-técnica",120,"pt-BR","OCEAN LAB 1","Design - Discovery - Metodologias"
"BKQLL8","Não","3RCRYQ","Homem","Não","Uma pessoa branca","Hétero","PE","Programo em Python há mais de dez anos","Participei da Python Brasil de 2013 em Brasília - DF, Participei da Python Brasil 2014 em Porto de Galinhas - PE, Participei da Python Brasil de 2016 em Florianópolis - SC, Participei da Python Brasil de 2018 em Natal - RN, Participei da Python Brasil 2019 em Ribeirão Preto - SP, Participei da Python Brasil 2020 - Online, Participei da Python Brasil 2021 - Online","Em 2018 ou anos anteriores, Em 2019","Meetups e eventos locais, Eventos com até 200 pessoas, Eventos com até 1000 pessoas","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Iniciante",45,"pt-BR","Tucunare - Vasco Vasquez","sre, devops, confiabilidade"
"N8NCQ7","Não","7MCGY9","Homem","Não","Uma pessoa branca","Bissexual","BA","Não programo, minha atividade é sobre outro tema (por exemplo: carreira e pessoas (Pessoas > Tecnologia))","Sim","Não","Não","Ingresso","confirmed","Palestra","Não-técnica",45,"pt-BR","Aruanã - Vasco Vasquez","IaC, DevOps, Carreira, Vida, Comunidade"
"AWRWDQ","Não","7TEHML","Homem","Não","Uma pessoa branca","Hétero","AM","Programo em Python há mais de três anos","Participei da Python Brasil 2021 - Online","Não","Meetups e eventos locais","Ingresso","confirmed","Tutorial longo","Intermediário",240,"en","OCEAN LAB 2","Visão Computacional, Interação Humano-computador, IA"
"BQN8UQ","Não","7TEHML","Homem","Não","Uma pessoa parda","Hétero","AM","Programo em Python há mais de um ano","Sim","Não","Não","Deslocamento (passagens ou reembolso de combustível), Alimentação","confirmed","Tutorial longo","Intermediário",240,"en","OCEAN LAB 2","Visão Computacional, Interação Humano-computador, IA"
"VWL8LP","Não","7WVRA3","Mulher","Não","Uma pessoa branca","Hétero","AM","Programo em Python há mais de um ano","Sim","Não","Meetups e eventos locais, Eventos com até 200 pessoas, Eventos online","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Não-técnica",45,"pt-BR","Tucunare - Vasco Vasquez","Capacitação, Diversidade, Estratégias"
"HXBFPY","Sim","8KS3DZ","Prefiro não responder","Prefiro não responder","Uma pessoa parda","Pansexual","AP","Programo em Python há mais de dez anos","Participei da Python Brasil de 2012 em Rio de Janeiro - RJ, Participei da Python Brasil de 2013 em Brasília - DF","Em 2018 ou anos anteriores","Meetups e eventos locais","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Intermediário",45,"pt-BR","Jaraqui - Vasco Vasquez","Django, asyncio, Channels"
"PWSDKA","Não","9AFFWM","Mulher","Não","Uma pessoa branca","Hétero","AM","Programo em Python há mais de três anos","Sim","Não","Eventos com até 200 pessoas","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Não-técnica",45,"pt-BR","Tucunare - Vasco Vasquez","Educação, Multidisciplinar, BNCC"
"XKQAAP","Não","9WE9XJ","Homem","Não","Uma pessoa branca","Hétero","RS","Comecei há menos de um ano","Sim","Em 2021","Eventos com até 200 pessoas","Deslocamento (passagens ou reembolso de combustível)","confirmed","Palestra","Não-técnica",45,"pt-BR","Aruanã - Vasco Vasquez","Transparência,  informação pública ,  dados abertos. "
"WTKN8Q","Não","ACTX8Y","Mulher","Não","Uma pessoa parda","Bissexual","PA","Programo em Python há mais de três anos","Participei da Python Brasil 2020 - Online","Não","Meetups e eventos locais","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Não-técnica",45,"pt-BR","Tucunare - Vasco Vasquez","Bioinformática, Comunidade, PyLadies"
"A37ULW","Não","AJYNXH","Homem","Não","Uma pessoa branca","Hétero","PE","Programo em Python há mais de cinco anos","Participei da Python Brasil 2021 - Online","Não","Eventos com até 200 pessoas","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Intermediário",45,"pt-BR","Jaraqui - Vasco Vasquez","Testes, Web, Performance"
"WV3NXK","Não","B9XQNM","Mulher","Não","Uma pessoa parda","Bissexual","SP","Programo em Python há mais de cinco anos","Participei da Python Brasil de 2016 em Florianópolis - SC, Participei da Python Brasil 2019 em Ribeirão Preto - SP, Participei da Python Brasil 2020 - Online","Em 2018 ou anos anteriores, Em 2019","Meetups e eventos locais","Ingresso, Deslocamento (passagens ou reembolso de combustível)","confirmed","Palestra","Iniciante",45,"pt-BR","Tucunare - Vasco Vasquez","MicroPython, hardware, jogos"
"Z7GRTN","Não","BLDLHP","Mulher","Não","Uma pessoa preta","Hétero","SP","Programo em Python há mais de cinco anos","Participei da Python Brasil 2019 em Ribeirão Preto - SP","Não","Eventos com mais de 1000 pessoas, Eventos internacionais","Ingresso, Deslocamento (passagens ou reembolso de combustível), Hospedagem","confirmed","Palestra","Intermediário",45,"pt-BR","Aruanã - Vasco Vasquez","IA, Pessoas"
"A7XRXZ","Não","BYA9EP","Prefiro não responder","Não","Uma pessoa branca","Hétero","RJ","Programo em Python há mais de cinco anos","Sim","Não","Meetups e eventos locais, Eventos com até 200 pessoas, Eventos com até 1000 pessoas, Eventos internacionais, Eventos online","Ingresso","confirmed","Palestra","Intermediário",45,"pt-BR","Jaraqui - Vasco Vasquez","DevOps, Cloud, Deploy"
"ZMSA8P","Não","BYA9EP","Homem","Não","Uma pessoa parda","Hétero","GO","Programo em Python há mais de dez anos","Participei da Python Brasil de 2018 em Natal - RN","Em 2018 ou anos anteriores","Eventos com até 200 pessoas","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Intermediário",45,"pt-BR","Jaraqui - Vasco Vasquez","DevOps, Cloud, Deploy"
"DHLWCX","Não","CXS8RP","Mulher","Não","Uma pessoa preta","Bissexual","PE","Programo em Python há mais de três anos","Participei da Python Brasil de 2018 em Natal - RN, Participei da Python Brasil 2019 em Ribeirão Preto - SP, Participei da Python Brasil 2020 - Online, Participei da Python Brasil 2021 - Online","Em 2019","Meetups e eventos locais, Eventos com até 200 pessoas, Eventos online","Deslocamento (passagens ou reembolso de combustível), Hospedagem","confirmed","Palestra","Iniciante",45,"pt-BR","Jaraqui - Vasco Vasquez","Python, Planilhas, Pandas"
"3KTFUG","Não","DLZJLM","Homem","Não","Uma pessoa branca","Gay","SP","Programo em Python há mais de três anos","Participei da Python Brasil 2020 - Online, Participei da Python Brasil 2021 - Online","Não","Meetups e eventos locais","Ingresso, Deslocamento (passagens ou reembolso de combustível), Hospedagem, Alimentação","confirmed","Palestra","Iniciante",45,"pt-BR","Tucunare - Vasco Vasquez","Web, Front-end"
"TPPB87","Sim","DUEMMF","Homem","Não","Uma pessoa branca","Hétero","SC","Programo em Python há mais de cinco anos","Participei da Python Brasil de 2017 em Belo Horizonte - MG, Participei da Python Brasil 2019 em Ribeirão Preto - SP, Participei da Python Brasil 2020 - Online","Em 2020","Eventos com mais de 1000 pessoas, Eventos internacionais, Eventos online","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Não-técnica",45,"pt-BR","Aruanã - Vasco Vasquez","PCD, Autismo, Neurodiversidade"
"VKWUXB","Não","DX7GN8","Homem","Não","Uma pessoa branca","Hétero","SP","Programo em Python há mais de dez anos","Participei da Python Brasil 2020 - Online, Participei da Python Brasil 2021 - Online","Em 2020","Meetups e eventos locais, Eventos com até 200 pessoas, Eventos internacionais, Eventos online","Ingresso","confirmed","Palestra","Intermediário",45,"en","Jaraqui - Vasco Vasquez","Testes, Data Science, Airflow"
"WKBPVF","Não","EMKWY8","Mulher","Não","Uma pessoa parda","Hétero","AM","Programo em Python há mais de cinco anos","Participei da Python Brasil 2020 - Online","Em 2020","Meetups e eventos locais, Eventos com até 200 pessoas, Eventos com até 1000 pessoas, Eventos com mais de 1000 pessoas, Eventos online","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Iniciante",45,"pt-BR","Tucunare - Vasco Vasquez","Curiosidade"
"E8XQXS","Não","F3FCY7","Homem","Não","Uma pessoa preta","Hétero","PI","Programo em Python há mais de cinco anos","Sim","Não","Meetups e eventos locais","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Iniciante",45,"pt-BR","Tucunare - Vasco Vasquez","Testes, Django, Web"
"38W8AM","Não","GVUGCD","Homem","Não","Prefiro não responder","Prefiro não responder","DF","Programo em Python há mais de um ano","Sim","Não","Meetups e eventos locais, Eventos online","Não, não preciso de nenhuma ajuda de custo.","confirmed","Tutorial curto","Intermediário",120,"en","OCEAN LAB 1","ETL, Engenharia de Dados, Airflow"
"RGNCGA","Não","GVUGCD","Homem","Não","Uma pessoa branca","Hétero","PR","Comecei há menos de um ano","Sim","Não","Não","Não, não preciso de nenhuma ajuda de custo.","confirmed","Tutorial curto","Intermediário",120,"en","OCEAN LAB 1","ETL, Engenharia de Dados, Airflow"
"AX8V78","Não","H3PY7J","Homem","Não","Uma pessoa branca","Hétero","SP","Programo em Python há mais de dez anos","Participei da Python Brasil de 2012 em Rio de Janeiro - RJ, Participei da Python Brasil de 2013 em Brasília - DF, Participei da Python Brasil 2014 em Porto de Galinhas - PE, Participei da Python Brasil de 2015 em São José dos Campos - SP, Participei da Python Brasil de 2016 em Florianópolis - SC, Participei da Python Brasil de 2017 em Belo Horizonte - MG, Participei da Python Brasil de 2018 em Natal - RN, Participei da Python Brasil 2019 em Ribeirão Preto - SP, Participei da Python Brasil 2020 - Online, Participei da Python Brasil 2021 - Online","Em 2018 ou anos anteriores, Em 2019, Em 2020, Em 2021","Meetups e eventos locais, Eventos com até 200 pessoas, Eventos com até 1000 pessoas, Eventos com mais de 1000 pessoas, Eventos internacionais, Eventos online","Não, não preciso de nenhuma ajuda de custo.","confirmed","Tutorial longo","Iniciante",240,"pt-BR","OCEAN LAB 2","Interpretador"
"SHLWHX","Não","HKPXSE","Mulher","Não","Uma pessoa parda","Hétero","Não moro no Brasil.","Programo em Python há mais de cinco anos","Participei da Python Brasil de 2016 em Florianópolis - SC, Participei da Python Brasil de 2017 em Belo Horizonte - MG, Participei da Python Brasil de 2018 em Natal - RN, Participei da Python Brasil 2019 em Ribeirão Preto - SP, Participei da Python Brasil 2020 - Online, Participei da Python Brasil 2021 - Online","Em 2018 ou anos anteriores, Em 2019, Em 2020, Em 2021","Meetups e eventos locais, Eventos com até 200 pessoas, Eventos com até 1000 pessoas, Eventos com mais de 1000 pessoas, Eventos internacionais, Eventos online","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Iniciante",45,"pt-BR","Aruanã - Vasco Vasquez","web, autenticacao, segurança"
"VAEHD3","Não","KHULKG","Homem","Não","Prefiro não responder","Hétero","RN","Programo em Python há mais de três anos","Sim","Não","Não","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Intermediário",45,"pt-BR","Jaraqui - Vasco Vasquez","Packages, Arquitetura, Pypi Server"
"G79WCB","Não","KRSAAA","Homem","Não","Uma pessoa parda","Hétero","AM","Programo em Python há mais de cinco anos","Sim","Não","Não","Não, não preciso de nenhuma ajuda de custo.","confirmed","Tutorial curto","Iniciante",120,"en","OCEAN LAB 2","FastAPI, Async, Web"
"DJACXM","Não","KUEM8H","Mulher","Não","Uma pessoa preta","Hétero","BA","Programo em Python há mais de cinco anos","Sim","Não","Meetups e eventos locais, Eventos com até 1000 pessoas","Ingresso, Deslocamento (passagens ou reembolso de combustível), Hospedagem","confirmed","Palestra","Iniciante",45,"pt-BR","Aruanã - Vasco Vasquez","Dados Abertos Governamentais, Educação Brasileira, Análise de Dados"
"AYDQUK","Não","NZ3WUC","Mulher","Não","Uma pessoa parda","Hétero","SP","Programo em Python há mais de cinco anos","Sim","Não","Meetups e eventos locais, Eventos com até 200 pessoas, Eventos com até 1000 pessoas, Eventos com mais de 1000 pessoas, Eventos internacionais, Eventos online","Não, não preciso de nenhuma ajuda de custo., Ingresso","confirmed","Palestra","Intermediário",45,"pt-BR","Jaraqui - Vasco Vasquez","serverless, observability"
"UXXYJ7","Não","PVXZAR","Homem","Não","Uma pessoa branca","Hétero","SC","Programo em Python há mais de três anos","Sim","Não","Não","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Intermediário",45,"pt-BR","Jaraqui - Vasco Vasquez","Refatoração, Automação"
"PPFU3R","Não","QKGLEU","Homem","Não","Uma pessoa branca","Hétero","SP","Programo em Python há mais de três anos","Sim","Não","Eventos com até 200 pessoas","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Intermediário",45,"pt-BR","Jaraqui - Vasco Vasquez","AWS, Dev-Infra, Machine Learning"
"JT39KC","Não","RQMNLU","Mulher","Não","Uma pessoa parda","Hétero","AM","Programo em Python há mais de cinco anos","Sim","Não","Meetups e eventos locais, Eventos com mais de 1000 pessoas, Eventos online","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Intermediário",45,"en",,"IA, Deep Learning, Python"
"RJAEUA","Não","S97AGM","Homem","Não","Uma pessoa branca","Hétero","AM","Programo em Python há mais de cinco anos","Sim","Não","Meetups e eventos locais, Eventos com até 200 pessoas","Ingresso, Deslocamento (passagens ou reembolso de combustível)","confirmed","Tutorial curto","Intermediário",120,"en","OCEAN LAB 2","MLops, Automação, Data Science"
"AH7CLU","Não","TTLFTJ","Mulher","Não","Uma pessoa branca","Hétero","AM","Programo em Python há mais de cinco anos","Participei da Python Brasil de 2017 em Belo Horizonte - MG","Em 2018 ou anos anteriores","Meetups e eventos locais, Eventos online","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Iniciante",45,"pt-BR","Jaraqui - Vasco Vasquez","Sistemas de Recomendação, Computação Urbana, Ciência de Dados"
"GC8MN9","Não","V3EPPY","Mulher","Não","Uma pessoa branca","Pansexual","SC","Programo em Python há mais de dez anos","Participei da Python Brasil de 2013 em Brasília - DF, Participei da Python Brasil de 2016 em Florianópolis - SC, Participei da Python Brasil 2019 em Ribeirão Preto - SP, Participei da Python Brasil 2020 - Online, Participei da Python Brasil 2021 - Online","Em 2018 ou anos anteriores, Em 2019, Em 2020, Em 2021","Meetups e eventos locais, Eventos com até 200 pessoas, Eventos com até 1000 pessoas, Eventos com mais de 1000 pessoas, Eventos internacionais, Eventos online","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Iniciante",45,"pt-BR","Aruanã - Vasco Vasquez","documentação, Sphinx, MyST"
"QUWBRT","Não","V7P9JV","Homem","Não","Uma pessoa indígena","Bissexual","SC","Programo em Python há mais de dez anos","Participei da Python Brasil de 2013 em Brasília - DF, Participei da Python Brasil 2014 em Porto de Galinhas - PE, Participei da Python Brasil de 2015 em São José dos Campos - SP, Participei da Python Brasil de 2016 em Florianópolis - SC, Participei da Python Brasil de 2017 em Belo Horizonte - MG, Participei da Python Brasil de 2018 em Natal - RN, Participei da Python Brasil 2019 em Ribeirão Preto - SP, Participei da Python Brasil 2020 - Online, Participei da Python Brasil 2021 - Online","Em 2018 ou anos anteriores","Meetups e eventos locais, Eventos com até 200 pessoas, Eventos com até 1000 pessoas, Eventos com mais de 1000 pessoas, Eventos internacionais, Eventos online","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Não-técnica",45,"pt-BR","Aruanã - Vasco Vasquez","Comunidade, Cultura, Carreira"
"XWWMQL","Não","VHB7VZ","Mulher","Não","Uma pessoa indígena","Hétero","RN","Não programo, minha atividade é sobre outro tema (por exemplo: carreira e pessoas (Pessoas > Tecnologia))","Participei da Python Brasil 2014 em Porto de Galinhas - PE, Participei da Python Brasil de 2016 em Florianópolis - SC, Participei da Python Brasil de 2017 em Belo Horizonte - MG, Participei da Python Brasil de 2018 em Natal - RN, Participei da Python Brasil 2019 em Ribeirão Preto - SP, Participei da Python Brasil 2020 - Online, Participei da Python Brasil 2021 - Online","Em 2018 ou anos anteriores, Em 2019, Em 2020, Em 2021","Meetups e eventos locais, Eventos com até 200 pessoas, Eventos com até 1000 pessoas, Eventos internacionais, Eventos online","Ingresso, Deslocamento (passagens ou reembolso de combustível), Hospedagem, Alimentação","confirmed","Palestra","Não-técnica",45,"pt-BR","Aruanã - Vasco Vasquez","Pessoas"
"BKAT79","Não","VHGRFH","Mulher","Não","Uma pessoa parda","Bissexual","SP","Programo em Python há mais de três anos","Sim","Não","Meetups e eventos locais, Eventos online","Ingresso, Deslocamento (passagens ou reembolso de combustível), Hospedagem, Alimentação","confirmed","Tutorial longo","Intermediário",240,"en","OCEAN LAB 1","Dados Geoespaciais, Sensoriamento Remoto, Machine Learning"
"BLTCJW","Não","WSRN7V","Homem","Não","Uma pessoa branca","Hétero","SP","Programo em Python há mais de cinco anos","Sim","Não","Meetups e eventos locais, Eventos com até 200 pessoas, Eventos online","Não, não preciso de nenhuma ajuda de custo.","confirmed","Tutorial curto","Intermediário",120,"en","OCEAN LAB 2","Data Science, IA, YOLO"
"FEZNLK","Não","WSRTNQ","Homem","Não","Uma pessoa branca","Hétero","SP","Programo em Python há mais de dez anos","Participei da Python Brasil de 2012 em Rio de Janeiro - RJ, Participei da Python Brasil de 2013 em Brasília - DF, Participei da Python Brasil 2014 em Porto de Galinhas - PE, Participei da Python Brasil de 2015 em São José dos Campos - SP, Participei da Python Brasil de 2016 em Florianópolis - SC, Participei da Python Brasil de 2017 em Belo Horizonte - MG, Participei da Python Brasil de 2018 em Natal - RN, Participei da Python Brasil 2019 em Ribeirão Preto - SP, Participei da Python Brasil 2020 - Online, Participei da Python Brasil 2021 - Online","Em 2018 ou anos anteriores, Em 2019, Em 2020","Meetups e eventos locais, Eventos com até 200 pessoas, Eventos com até 1000 pessoas, Eventos com mais de 1000 pessoas, Eventos internacionais, Eventos online","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Intermediário",45,"pt-BR","Jaraqui - Vasco Vasquez","dados abertos, data science, banco de dados"
"JKJZQZ","Não","XJM3YM","Homem","Não","Uma pessoa preta","Gay","AM","Programo em Python há mais de um ano","Sim","Não","Meetups e eventos locais","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Não-técnica",45,"pt-BR","Aruanã - Vasco Vasquez","Comunidade, Avanço Tecnológico. Pessoas"
"MWJ9XJ","Não","Y8SYZU","Mulher","Não","Uma pessoa branca","Hétero","DF","Programo em Python há mais de três anos","Participei da Python Brasil 2020 - Online, Participei da Python Brasil 2021 - Online","Em 2020, Em 2021","Meetups e eventos locais, Eventos com até 200 pessoas, Eventos com até 1000 pessoas, Eventos online","Deslocamento (passagens ou reembolso de combustível), Hospedagem","confirmed","Palestra","Iniciante",45,"pt-BR","Tucunare - Vasco Vasquez","Ciência,  Psicologia ,  Interdisciplinaridade "
"UTUPKA","Não","ZCQEKM","Homem","Não","Uma pessoa branca","Hétero","PA","Programo em Python há mais de um ano","Sim","Não","Meetups e eventos locais, Eventos com até 200 pessoas","Não, não preciso de nenhuma ajuda de custo.","confirmed","Palestra","Não-técnica",45,"pt-BR","Aruanã - Vasco Vasquez","Filosofia, Tecnologia"
"7E37XQ","Não","ZGYEHQ","Mulher","Não","Uma pessoa branca","Bissexual","AM","Programo em Python há mais de três anos","Sim","Não","Meetups e eventos locais, Eventos com até 200 pessoas, Eventos online","Ingresso","confirmed","Tutorial longo","Intermediário",240,"en","UEA LAB 1","Análise de dados, graficos interativos, visualização de dados"
"3NHU8H","Não","ZKKDR7","Homem","Não","Uma pessoa parda","Hétero","AM","Programo em Python há mais de um ano","Participei da Python Brasil 2021 - Online","Não","Eventos online","Não, não preciso de nenhuma ajuda de custo.","confirmed","Tutorial curto","Iniciante",120,"en","OCEAN LAB 1","API's Web, FastAPI, Desenvolvimento"
